"","Year","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
"1",1985,0,0.108406591229431,0.197429322404557,0.197087798149731,0.14545159506922,0.101513839279818,0.0746805993467641,0.0610762353837997,0.0563609364179955,0.057993082718684
"2",1986,0.51844828480211,0.235383225060926,0.0849561848606286,0.0485448040355855,0.0328372802761502,0.0243112911947496,0.0185149519626071,0.0146223305357817,0.0120371262009348,0.0103445210705264
"3",1987,0.344833135245855,0.22273117038665,0.167550972084608,0.0952061297538121,0.0544997275818231,0.0348488366479461,0.0254992609076468,0.0207014825525928,0.0179209780387271,0.0162083068003393
"4",1988,0.94152211962945,0.0233117368042166,0.00736492520162316,0.00770001350879563,0.00607778844056452,0.00442164518417284,0.00326901158306126,0.00252807461065721,0.00205438956910451,0.00175029546835462
"5",1989,0.717952399755896,0.134805819517023,0.0414361099287689,0.0292104062072113,0.0217770347540244,0.0165667516243673,0.0127231421699598,0.0100769747537167,0.00830773491146109,0.00714362637757117
