"Year","Gear","Area","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
1989,2,3,0,55,72,1374,59,2,10,6,1,3
1990,2,3,0,3,257,131,1873,55,5,12,4,4
1991,2,3,0,14,8,35,18,189,11,1,1,1
1992,2,3,0,17,487,68,133,68,787,39,2,8
1993,2,3,0,1,35,78,21,25,18,104,7,0
1996,2,3,0,201,42,2,4,11,16,3,1,1
1997,2,3,0,70,82,28,4,1,2,5,2,1
2001,2,3,0,40,7,19,7,20,2,1,0,1
2003,2,3,0,0,374,168,9,13,2,10,2,0
2004,2,3,0,75,9,6,4,0,0,0,0,0
2010,2,3,0,63,47,61,4,6,2,5,1,0
2011,2,3,0,16,55,10,8,1,0,0,0,0
2012,2,3,0,2,41,39,5,6,0,0,0,0
2013,2,3,0,0,85,62,26,2,6,1,0,0
2014,2,3,0,3,0,98,52,27,1,3,0,0
2015,2,3,0,4,52,5,22,8,3,1,0,0
2019,2,3,0,1,59,23,3,0,0,0,0,0
1981,3,1,0,0,0,109,4,12,5,0,0,0
1974,3,2,0,0,1,27,21,18,4,0,0,1
1975,3,2,0,0,0,9,16,12,2,1,0,0
1979,3,2,0,0,0,50,50,50,40,7,1,1
1980,3,2,0,0,34,30,306,155,185,38,8,0
1981,3,2,0,0,2,568,71,73,39,17,5,0
1982,3,2,0,0,1,18,464,18,14,6,4,1
1983,3,2,0,0,0,10,21,665,23,19,5,4
1984,3,2,0,0,11,5,18,35,313,7,1,1
1985,3,2,0,0,0,22,3,6,16,96,1,0
1986,3,2,0,0,0,48,205,22,21,42,65,2
1990,3,2,0,0,2,36,189,44,37,74,37,14
1991,3,2,0,0,0,10,85,175,36,27,41,20
1999,3,2,0,0,4,185,137,175,60,16,8,16
1974,3,3,0,0,8,49,19,8,1,0,0,0
1976,3,3,0,0,0,1,29,81,19,3,0,0
1978,3,3,0,0,1,8,19,32,65,33,6,1
1980,3,3,0,0,1,12,70,40,24,27,7,1
