"","Year","Dive","Surface","sum","Spawn","Area","diff"
"1",1988,7779.86741127372,1297.96550792887,9.07783291920259,9.078,2,0
"2",1989,11624.1240043949,3520.13462957769,15.1442586339726,15.144,2,0
"3",1990,16953.7935564934,0,16.9537935564934,16.954,2,0
"4",1991,12562.1613321228,0,12.5621613321228,12.562,2,0
"5",1992,7050.50717369939,0,7.05050717369939,7.051,2,0
"6",1993,4773.7848209272,0,4.7737848209272,4.774,2,0
"7",1994,8676.17880898374,1103.5303552,9.77970916418374,9.78,2,0
"8",1995,4517.73704486606,25.6459015699478,4.54338294643601,4.543,2,0
"9",1996,6550.86279102429,0,6.55086279102429,6.551,2,0
"10",1997,9484.34851471712,0,9.48434851471712,9.484,2,0
"11",1998,16720.9400744007,0,16.7209400744007,16.721,2,0
"12",1999,8090.28420480694,0,8.09028420480694,8.09,2,0
"13",2000,4597.63523010006,0,4.59763523010006,4.598,2,0
"14",2001,12268.7759389177,0,12.2687759389177,12.269,2,0
"15",2002,1294.16747579938,0,1.29416747579938,1.294,2,0
"16",2003,3488.87307766898,2730.24528,6.21911835766898,6.219,2,0
"17",2004,2245.02037229907,1028.6627208,3.27368309309907,3.274,2,0
"18",2005,1886.21678915045,432.950020325,2.31916680947545,2.319,2,0
"19",2006,0,2973.97954793663,2.97397954793663,2.974,2,0
"20",2007,353.839554844922,7428.08918044001,7.78192873528493,7.782,2,0
"21",2008,3165.7567124945,0,3.1657567124945,3.166,2,0
"22",2009,6797.8807325081,1954.77908998057,8.75265982248866,8.753,2,0
"23",2010,4302.32565084474,182.92383339,4.48524948423474,4.485,2,0
"24",2011,5653.79073047177,1.1572716,5.65494800207177,5.655,2,0
"25",2012,6540.65487486072,1443.53322681,7.98418810167072,7.984,2,0
"26",2013,12529.319691982,1308.9826134,13.838302305382,13.838,2,0
"27",2014,9851.67473333371,0,9.85167473333371,9.852,2,0
"28",2015,12309.8616133856,0,12.3098616133856,12.31,2,0
"29",2016,6300.87646236105,165.60797839192,6.46648444075297,6.525,2,0.06
"30",2017,2648.71063825363,313.3739965,2.96208463475363,2.962,2,0
"31",2018,3515.67264280396,0,3.51567264280396,3.516,2,0
"32",2019,10371.1138029286,310.753695537744,10.6818674984664,10.682,2,0
