"","Year","Dive","Surface","sum","Spawn","Area","diff"
"1",1988,0,921.9405308,0.9219405308,1.096,3,0.17
"2",1989,5028.84118763648,82.82434,5.11166552763648,5.118,3,0.01
"3",1990,1958.61711478857,0,1.95861711478857,1.959,3,0
"4",1991,772.720529879785,0,0.772720529879785,0.773,3,0
"5",1992,999.711600347808,0,0.999711600347808,1,3,0
"6",1993,79.0919436009545,165.875576383217,0.244967519984172,0.278,3,0.03
"7",1994,0,44.0980896073035,0.0440980896073035,0.067,3,0.02
"8",1995,0,0,0,0,0,0
"9",1996,125.267106677956,0,0.125267106677956,0.125,3,0
"10",1997,52.2989370515494,0,0.0522989370515494,0.052,3,0
"11",1998,0,0,0,0,0,0
"12",1999,43.6451223063857,0,0.0436451223063857,0.044,3,0
"13",2000,0,0,0,0,0,0
"14",2001,254.783409041749,0,0.254783409041749,0.255,3,0
"15",2002,99.6392686557425,0,0.0996392686557425,0.1,3,0
"16",2003,0,0,0,0,0,0
"17",2004,0,0,0,0,0,0
"18",2005,503.053854133335,0,0.503053854133335,0.503,3,0
"19",2006,0,0,0,0,0,0
"20",2007,0,14.052288,0.014052288,0.102,3,0.09
"21",2008,0,0,0,0,0,0
"22",2009,0,0,0,0,0,0
"23",2010,0,52.178427,0.052178427,0.151,3,0.1
"24",2011,0,128.79101865,0.12879101865,0.193,3,0.06
"25",2012,0,197.931017275,0.197931017275,0.198,3,0
"26",2013,1271.90802955524,0,1.27190802955524,1.272,3,0
"27",2014,0,0,0,0,0,0
"28",2015,0,0,0,0,0,0
"29",2016,0,0,0,0,0,0
"30",2017,0,0,0,0,0,0
"31",2018,0,0,0,0,0,0
"32",2019,0,184.247842183431,0.184247842183431,0.184,3,0
