"","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"LL_NAFO3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"LL_NAFO4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"OT_NAFO3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"OT_NAFO4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"RV_4VWX",0.114834621040425,0.132172366755983,0.095334824137294,0.14446017856097,0.208493575778742,0.22135753264843,0.350033108871903,0.414511767177031,0.268303247595519,0.318102433003167,0.389757604356949,0.309195538937233,0.234201673178335,0.0703281778173607,0.198199775901128,0.128969531509924,0.197449032945712,0.18768572604274,0.248395919972071,0.328694927867782,0.208814992844633,0.332365045822066,0.255644604492235,0.17511937334614,0.14654547630844,0.137538832582932,0.144537439839932,0.160443257867749,0.138202265827614,0.125932046056963,0.107776913370954,0.202349118395092,0.148766556699701,0.144321292301342,0.246832140362164,0.296708305711409,0.276336574502848,0.464999668673102,0.400651946219918,0.3617608046171,0.693678348638043,0.798137073833183,0.59664784331563,0.501089521961656,0.638307444729864,0.666198039424015,0.621467920737058,0.62006147656117,0.527450729895925,0.412311747216523,0.360020314034989,0.532226684185239
"HS_Fixed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0661744241472813,0.0500781792493667,0.0626192037126725,0.0503569260811164,0.0544794887062213,0.0528251897001153,0.0622073951728423,0.0619111671073605,0.0597484538881598,0.0826869998205739,0.0825002270828778,0.10353079397228,0.108556070061948,0.15056677613626,0.132554379105971,0.127506954002476,0.156900872259106,0.175825706405895,0.136090707090085,0.204879469047885,0.254069432809226,0.211441486308548,0.21081590354797,0.141414141414141
"HS_Rand",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0736989851116169,0.102063641343482,0.107752368165353,0.0855654359066095,0.0976130301195136
