Year,Dive,Surface
1988,0,921.9405307999999
1989,5028.841187636477,82.82433999999999
1990,1958.6171147885652,0
1991,772.7205298797852,0
1992,999.7116003478076,0
1993,79.0919436009545,165.8755763832173
1994,0,44.09808960730354
1995,0,0
1996,125.26710667795605,0
1997,52.298937051549366,0
1998,0,0
1999,43.64512230638568,0
2000,0,0
2001,254.78340904174865,0
2002,99.63926865574248,0
2003,0,0
2004,0,0
2005,503.05385413333505,0
2006,0,0
2007,0,14.052287999999997
2008,0,0
2009,0,0
2010,0,52.17842699999999
2011,0,128.79101864999998
2012,0,197.931017275
2013,1271.9080295552426,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,184.24784218343106
