Year,Dive,Surface
1988,3425.683625324845,30.827206799999995
1989,2309.429934436729,1646.8347444949998
1990,6049.542757763824,441.67750238090514
1991,2586.507951186837,282.68837999999994
1992,3017.580873154998,0
1993,1512.2112194845322,73.00688232887865
1994,2973.1418022198504,0
1995,49.63129494004929,107.68998987524174
1996,698.2268226775734,0
1997,1240.9561139751622,0
1998,3900.8472771415627,0
1999,837.0936929258645,0
2000,743.377512878633,0
2001,1335.0071402550175,0
2002,891.7736697822431,0
2003,1119.313872731677,59.47599167999999
2004,957.272636418116,675.2141138240333
2005,634.6140498398064,156.967266975
2006,0,1123.1304022772906
2007,641.9974620277,910.310215335
2008,1047.4003526548518,0
2009,790.1358446828119,250.856972262
2010,2093.2916011336492,115.56278700000001
2011,1210.3191444159554,495.9513949499999
2012,1310.7955152591642,227.27662185
2013,0,915.2385017375
2014,714.2381892215997,0
2015,792.2412682884759,0
2016,363.36974482642006,0
2017,53.51851677711384,0
2018,1072.6317444316223,0
2019,272.95991261493765,411.4099637386068
